Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
40,2033,species,Eurasian Collared-Dove,Streptopelia decaocto,3,Çalış kuş cenneti,TR-48,16 Sep 2023,L6799394,S149991637,,1
42,29164,species,Isabelline Wheatear,Oenanthe isabellina,1,"Muğla, TR (36.664, 28.902)",TR-48,14 Sep 2023,L27077912,S149842894,,1
43,24317,species,Common Chiffchaff,Phylloscopus collybita,1,"Muğla, TR (36.664, 28.902)",TR-48,14 Sep 2023,L27077912,S149842894,,1
44,24716,species,Eurasian Blackcap,Sylvia atricapilla,1,"TR (36.658, 28.853)",TR-48,13 Sep 2023,L27062928,S149762211,,1
45,10022,species,European Bee-eater,Merops apiaster,10,"TR (36.658, 28.853)",TR-48,13 Sep 2023,L27062928,S149762211,,1
46,9547,species,Common Kingfisher,Alcedo atthis,1,"TR (36.658, 28.853)",TR-48,13 Sep 2023,L27062928,S149762211,,1
47,24753,species,Lesser Whitethroat,Curruca curruca,1,"TR (36.64, 28.854)",TR-48,12 Sep 2023,L27062931,S149762221,,1
48,21450,species,Coal Tit,Periparus ater,4,"TR (36.64, 28.854)",TR-48,12 Sep 2023,L27062931,S149762221,,1
49,31293,species,Common Chaffinch,Fringilla coelebs,11,"Muğla, TR (36.643, 28.89)",TR-48,11 Sep 2023,L27037870,S149614879,,1
50,27860,species,Eurasian Blackbird,Turdus merula,3,"Muğla, TR (36.643, 28.89)",TR-48,11 Sep 2023,L27037870,S149614879,,1
51,26380,species,Krüper's Nuthatch,Sitta krueperi,1,"Muğla, TR (36.643, 28.89)",TR-48,11 Sep 2023,L27037870,S149614879,,1
52,21611,species,Eurasian Blue Tit,Cyanistes caeruleus,4,"Muğla, TR (36.643, 28.89)",TR-48,11 Sep 2023,L27037870,S149614879,,1
53,10952,species,Middle Spotted Woodpecker,Dendrocoptes medius,2,"Muğla, TR (36.643, 28.89)",TR-48,11 Sep 2023,L27037870,S149614879,,1
54,26385,species,Western Rock Nuthatch,Sitta neumayer,2,"TR (36,634, 28,87)",TR-48,10 Sep 2023,L27037129,S149617115,,1
55,20835,species,Eurasian Jay,Garrulus glandarius,1,"TR (36,634, 28,87)",TR-48,10 Sep 2023,L27037129,S149617115,,1
56,28925,species,Red-breasted Flycatcher,Ficedula parva,1,Gülhane Parkı,TR-34,06 Sep 2023,L1523741,S149614920,,1
57,28196,species,Spotted Flycatcher,Muscicapa striata,1,Gülhane Parkı,TR-34,06 Sep 2023,L1523741,S149614920,,1
58,27278,species,Common Myna,Acridotheres tristis,11,Gülhane Parkı,TR-34,06 Sep 2023,L1523741,S149614920,N,1
59,24307,species,Willow Warbler,Phylloscopus trochilus,2,Gülhane Parkı,TR-34,06 Sep 2023,L1523741,S149614920,,1
60,21672,species,Great Tit,Parus major,1,Gülhane Parkı,TR-34,06 Sep 2023,L1523741,S149614920,,1
61,21010,species,Eurasian Jackdaw,Corvus monedula,2,Gülhane Parkı,TR-34,06 Sep 2023,L1523741,S149614920,,1
62,12012,species,Alexandrine Parakeet,Psittacula eupatria,3,Gülhane Parkı,TR-34,06 Sep 2023,L1523741,S149614920,N,1
63,11056,species,Syrian Woodpecker,Dendrocopos syriacus,1,Gülhane Parkı,TR-34,06 Sep 2023,L1523741,S149614920,,1
64,12019,species,Rose-ringed Parakeet,Psittacula krameri,4,Galata Kulesi,TR-34,05 Sep 2023,L2102744,S149616270,N,1
65,4024,species,Alpine Swift,Apus melba,15,Galata Kulesi,TR-34,05 Sep 2023,L2102744,S149616270,,1
66,2070,species,Laughing Dove,Spilopelia senegalensis,3,Galata Kulesi,TR-34,05 Sep 2023,L2102744,S149616270,,1
67,30886,species,House Sparrow,Passer domesticus,15,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
68,21076,species,Hooded Crow,Corvus cornix,7,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
69,20963,species,Eurasian Magpie,Pica pica,2,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
70,7299,species,Gray Heron,Ardea cinerea,5,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
71,7159,species,Great Cormorant,Phalacrocorax carbo,12,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
72,7149,species,Pygmy Cormorant,Microcarbo pygmaeus,7,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
73,6449,species,Yellow-legged Gull,Larus michahellis,12,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
74,5405,species,Eurasian Coot,Fulica atra,6,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
75,475,species,Eurasian Wigeon,Mareca penelope,2,Bahariye Adaları,TR-34,05 Sep 2023,L9643571,S149614890,,1
77,17011,species,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,3,Cave Creek Canyon--South Fork,US-AZ,20 Aug 2023,L129099,S147744920,,1
78,33917,species,Painted Bunting,Passerina ciris,2,Paradise--George Walker House,US-AZ,19 Aug 2023,L320213,S147660200,,1
